region,area,sektor,target_count
Manado,SME Banking Floor Maluku,Industri Pengolahan,2
Manado,SME Banking Floor Maluku,Konstruksi,1
Manado,SME Banking Floor Maluku,Perdagangan,2
Manado,SME Banking Floor Maluku,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Manado,SME Banking Floor Maluku,Lainnya,3
Manado,SME Banking Center Manado,Pertanian dan Perkebunan,1
Manado,SME Banking Center Manado,Industri Pengolahan,2
Manado,SME Banking Center Manado,Konstruksi,2
Manado,SME Banking Center Manado,Perdagangan,3
Manado,SME Banking Center Manado,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Manado,SME Banking Center Manado,Lainnya,1
Manado,SME Banking Desk Gorontalo,Industri Pengolahan,2
Manado,SME Banking Desk Gorontalo,Perdagangan,1
Manado,SME Banking Desk Ternate,Industri Pengolahan,2
Denpasar,SME Banking Center Denpasar,Industri Pengolahan,8
Denpasar,SME Banking Center Denpasar,Konstruksi,3
Denpasar,SME Banking Center Denpasar,Perdagangan,3
Denpasar,SME Banking Center Denpasar,Penyediaan Akomodasi dan Penyediaan Makan Minum,5
Denpasar,SME Banking Center Denpasar,Lainnya,4
Denpasar,SME Banking Floor Kupang,Pertanian dan Perkebunan,4
Denpasar,SME Banking Floor Kupang,Industri Pengolahan,1
Denpasar,SME Banking Floor Kupang,Konstruksi,1
Denpasar,SME Banking Floor Kupang,Perdagangan,2
Denpasar,SME Banking Floor Kuta Raya,Industri Pengolahan,4
Denpasar,SME Banking Floor Kuta Raya,Konstruksi,3
Denpasar,SME Banking Floor Kuta Raya,Perdagangan,6
Denpasar,SME Banking Floor Kuta Raya,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Denpasar,SME Banking Floor Kuta Raya,Lainnya,1
Denpasar,SME Banking Floor Mataram,Pertanian dan Perkebunan,2
Denpasar,SME Banking Floor Mataram,Industri Pengolahan,2
Denpasar,SME Banking Floor Mataram,Konstruksi,1
Denpasar,SME Banking Floor Mataram,Perdagangan,5
Denpasar,SME Banking Floor Mataram,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Denpasar,SME Banking Floor Mataram,Lainnya,2
Denpasar,SME Banking Desk Singaraja,Industri Pengolahan,1
Denpasar,SME Banking Desk Singaraja,Konstruksi,1
Denpasar,SME Banking Desk Singaraja,Perdagangan,1
Denpasar,SME Banking Desk Singaraja,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Denpasar,SME Banking Desk Singaraja,Lainnya,1
Denpasar,SME Banking Desk Bima,Industri Pengolahan,1
Denpasar,SME Banking Desk Bima,Konstruksi,1
Denpasar,SME Banking Desk Bima,Perdagangan,1
Denpasar,SME Banking Desk Bima,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Denpasar,SME Banking Desk Sumbawa Besar,Industri Pengolahan,2
Denpasar,SME Banking Desk Sumbawa Besar,Perdagangan,1
Denpasar,SME Banking Desk Ruteng,Industri Pengolahan,1
Jayapura,SME Banking Center Jayapura,Pertanian dan Perkebunan,2
Jayapura,SME Banking Center Jayapura,Konstruksi,2
Jayapura,SME Banking Center Jayapura,Perdagangan,7
Jayapura,SME Banking Center Jayapura,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Jayapura,SME Banking Floor Sorong,Pertanian dan Perkebunan,1
Jayapura,SME Banking Floor Sorong,Industri Pengolahan,1
Jayapura,SME Banking Floor Sorong,Konstruksi,1
Jayapura,SME Banking Floor Sorong,Perdagangan,1
Jayapura,SME Banking Floor Sorong,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Jayapura,SME Banking Floor Sorong,Lainnya,1
Jayapura,SME Banking Desk Manokwari,Perdagangan,2
Jayapura,SME Banking Desk Merauke,Industri Pengolahan,1
Jayapura,SME Banking Desk Nabire,Industri Pengolahan,1
Jayapura,SME Banking Desk Timika,Industri Pengolahan,1
