region,area,sektor,target_count
Tangerang,SME Banking Center Tangerang,Perdagangan,4
Tangerang,SME Banking Center Tangerang,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Tangerang,SME Banking Center Tangerang,Lainnya,2
Tangerang,SME Banking Floor Gading Serpong,Konstruksi,2
Tangerang,SME Banking Floor Gading Serpong,Perdagangan,2
Tangerang,SME Banking Floor Gading Serpong,Lainnya,2
Tangerang,SME Banking Floor Tangerang Ki Samaun,Industri Pengolahan,6
Tangerang,SME Banking Floor Tangerang Ki Samaun,Perdagangan,2
Tangerang,SME Banking Floor Tangerang Ki Samaun,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Tangerang,SME Banking Floor Tangerang Ki Samaun,Lainnya,1
Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,Industri Pengolahan,12
Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,Perdagangan,4
Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,Industri Pengolahan,8
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,Perdagangan,4
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kota,Industri Pengolahan,7
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kota,Perdagangan,2
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kyai Tapa,Industri Pengolahan,5
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kyai Tapa,Perdagangan,2
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,Industri Pengolahan,9
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,Perdagangan,6
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,Penyediaan Akomodasi dan Penyediaan Makan Minum,5
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,Lainnya,5
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,Industri Pengolahan,8
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,Perdagangan,7
